target_gamma,achieved_gamma,edge_idx,i,j,qf,qb,K,T,w_ij,w_ji,p_i,p_j
0.1,0.1000000000206513,0,0,1,0.4186181957736277,0.27746010687044476,0.14115808890318293,0.6960783026440724,0.5806322059655462,3.3301869577651266,0.7209696456253201,0.08331667572701293
0.1,0.1000000000206513,1,1,2,0.1994198842801452,0.05826179537696227,0.14115808890318293,0.2576816796571075,2.393517054539531,0.40957107604402176,0.08331667572701293,0.14225075642475338
0.1,0.1000000000206513,2,2,0,0.41084731784923306,0.18493192541388442,0.22591539243534867,0.5957792432631175,2.88819074270835,0.25650445415560735,0.14225075642475338,0.7209696456253201
0.1,0.1000000000206513,3,2,3,0.14995983408646077,0.23471713761862648,-0.0847573035321657,0.38467697170508725,1.0541935793908082,4.3902788672862485,0.14225075642475338,0.053462922222913725
0.1,0.1000000000206513,4,3,0,0.09116459174129153,0.17592189527345703,-0.08475730353216551,0.2670864870147486,1.7051928317943532,0.24400735362565,0.053462922222913725,0.7209696456253201
0.2,0.19999998528282215,0,0,1,0.09838737730733241,0.17702806357213305,-0.07864068626480063,0.27541544087946546,0.5539217618767612,2.17856890271761,0.1776196280391346,0.08125887749122973
0.2,0.19999998528282215,1,1,2,0.03374218451487088,0.11238287077967257,-0.0786406862648017,0.14612505529454345,0.4152430547482355,1.7101513843290208,0.08125887749122973,0.06571515937682094
0.2,0.19999998528282215,2,2,0,0.2592326159546228,0.12564463093340977,0.13358798502121305,0.3848772468880326,3.9447917103592895,0.70738032908011,0.06571515937682094,0.1776196280391346
0.2,0.19999998528282215,3,2,3,0.020996703672896577,0.23322537495891077,-0.2122286712860142,0.25422207863180735,0.31951080803895227,0.34531120429431694,0.06571515937682094,0.6754063350928146
0.2,0.19999998528282215,4,3,0,0.2902058906412529,0.5024345619272669,-0.21222867128601397,0.7926404525685198,0.4296759973407308,2.8287108101395546,0.6754063350928146,0.1776196280391346
0.3,0.3000000676246054,0,0,1,0.23827209287053663,0.18223388397855989,0.05603820889197675,0.4205059768490965,1.0661453371473932,0.5343588029949569,0.22348931667052427,0.3410328097098454
0.3,0.3000000676246054,1,1,2,0.08296435012038507,0.026926141228408973,0.056038208891976096,0.10989049134879404,0.2432738075581997,0.2444446528006831,0.3410328097098454,0.1101523020442758
0.3,0.3000000676246054,2,2,0,0.43292506556928445,0.08601521154311187,0.3469098540261726,0.5189402771123963,3.930240744267604,0.3848739296559687,0.1101523020442758,0.22348931667052427
0.3,0.3000000676246054,3,2,3,0.1357361267594022,0.42660777189359744,-0.2908716451341952,0.5623438986529996,1.2322586477116286,1.311325666248103,0.1101523020442758,0.3253255715753551
0.3,0.3000000676246054,4,3,0,0.29663620012346403,0.5875078452576591,-0.290871645134195,0.8841440453811231,0.9118133526578752,2.628796105380659,0.3253255715753551,0.22348931667052427
0.4,0.39999999833859107,0,0,1,0.2269177898458278,0.18677633838567867,0.040141451460149136,0.4136941282315065,0.6021215605277896,0.6558642359995335,0.3768637509789934,0.2847789651177314
0.4,0.39999999833859107,1,1,2,0.1686718507615814,0.12853039930143237,0.040141451460149025,0.29720225006301376,0.5922904126428377,0.7504656658287447,0.2847789651177314,0.1712675278215364
0.4,0.39999999833859107,2,2,0,0.3346217111158195,0.8521165780834025,-0.517494866967583,1.186738289199222,1.953795418034532,2.2610733345136715,0.1712675278215364,0.3768637509789934
0.4,0.39999999833859107,3,2,3,0.6197561876866884,0.06211986925895563,0.5576363184277328,0.681876056945644,3.6186438583529075,0.37177545000764217,0.1712675278215364,0.16708975608173895
0.4,0.39999999833859107,4,3,0,0.6456098542233732,0.08797353579564082,0.5576363184277324,0.7335833900190141,3.8638505995995716,0.2334359183315154,0.16708975608173895,0.3768637509789934
0.5,0.5000000240055332,0,0,1,0.03776518351185387,0.24664323776999508,-0.2088780542581412,0.28440842128184896,0.24104527710051238,1.7497157845752496,0.15667257191729317,0.1409618864642458
0.5,0.5000000240055332,1,1,2,0.053296906700794386,0.26217496095893605,-0.20887805425814168,0.31547186765973045,0.37809444834801387,3.215478387346394,0.1409618864642458,0.08153528942711961
0.5,0.5000000240055332,2,2,0,0.018521618481064706,0.2750518934370292,-0.2565302749559645,0.2935735119180939,0.22716076206021527,1.7555842102485428,0.08153528942711961,0.15667257191729317
0.5,0.5000000240055332,3,2,3,0.1924165058757489,0.14476428517792603,0.04765222069782288,0.33718079105367493,2.3599168805028965,0.2331785293434917,0.08153528942711961,0.6208302521913412
0.5,0.5000000240055332,4,3,0,0.2744855433255641,0.22683332262774095,0.0476522206978231,0.501318865953305,0.4421265593239277,1.4478176993704126,0.6208302521913412,0.15667257191729317
