sigma_exact,2.1972245773362187,gamma_G,0.0
|O|,per_edge_mean,per_edge_std,cov_mean,cov_std,hybrid_mean,hybrid_std,Bmax_mean,Bmax_std
2,0.24413606414846875,1.6443462923102818e-15,0.3545971398127433,0.0742000065516533,0.37651098173898995,0.07420000655165329,0.37651098173898995,0.07420000655165329
4,0.4882721282969376,2.0154752848453507e-15,0.7167136486639513,0.1645465656836932,0.7605413325164443,0.16454656568369322,0.7605413325164443,0.16454656568369322
6,0.732408192445406,2.354981673545804e-15,1.1123854364494479,0.21375328029425997,1.1781269622281878,0.21375328029425997,1.1781269622281878,0.21375328029425997
8,0.976544256593875,2.594349152486454e-15,1.4875167452585878,0.24242221050023594,1.5751721129635745,0.24242221050023594,1.5751721129635745,0.24242221050023594
10,1.2206803207423436,2.6135319709317573e-15,1.7700632839224346,0.2386766978520276,1.8796324935536677,0.23867669785202755,1.8796935659239802,0.23850605948646547
12,1.464816384890812,2.4591126725104036e-15,1.9234664856656152,0.15683374464934136,2.0549495372230946,0.15683374464934136,2.055383871900767,0.15504634489517474
14,1.7089524490392813,2.2464670889276305e-15,1.989127906976743,0.06465343709401103,2.1425248004604693,0.06465343709401106,2.1425248004604693,0.06465343709401106
16,1.95308851318775,1.6521970824929944e-15,1.9999999999999993,4.101731212328257e-15,2.1753107354099717,4.3717080316403106e-15,2.1753107354099717,4.3717080316403106e-15
18,2.1972245773362187,0.0,1.9999999999999984,0.0,2.197224577336218,0.0,2.1972245773362187,0.0
