target_gamma,achieved_gamma,sigma,KDK,KMK,ceiling_over_sigma,|O|,per_edge_norm,per_edge_std_norm,cov_norm,cov_std_norm,hybrid_norm,hybrid_std_norm,Bmax_norm,Bmax_std_norm
0.1,0.1000000000206513,0.5057689815537703,0.23718932219504696,0.213470389970644,0.906206457535074,1,0.2,0.12330021827713278,0.4348529107441115,0.23266073452860278,0.4472658258529987,0.23923846350758052,0.4472658258529987,0.23923846350758052
0.1,0.1000000000206513,0.5057689815537703,0.23718932219504696,0.213470389970644,0.906206457535074,2,0.4,0.15101130997638185,0.7423457363774539,0.2122360219588381,0.7671715665952283,0.21634190221224964,0.7671715665952283,0.21634190221224964
0.1,0.1000000000206513,0.5057689815537703,0.23718932219504696,0.213470389970644,0.906206457535074,3,0.6,0.15101130997638185,0.8441418819906383,6.061470040583504e-16,0.8813806273172998,0.01716141020926075,0.8813806273172998,0.01716141020926075
0.1,0.1000000000206513,0.5057689815537703,0.23718932219504696,0.213470389970644,0.906206457535074,4,0.8,0.12330021827713278,0.8441418819906386,5.053543097024616e-16,0.8937935424261872,0.014012232759759926,0.897782748128185,0.018687186520438888
0.1,0.1000000000206513,0.5057689815537703,0.23718932219504696,0.213470389970644,0.906206457535074,5,1.0,0.0,0.8441418819906386,0.0,0.9062064575350744,0.0,1.0,0.0
0.2,0.19999998528282215,0.8650214425288504,0.34514030432317083,0.2761122485380279,0.8404015151732132,1,0.19999999999999998,0.19717518754886867,0.3513416858496773,0.2185444972246326,0.3917431892786933,0.26648955091019394,0.3917431892786933,0.26648955091019394
0.2,0.19999998528282215,0.8650214425288504,0.34514030432317083,0.2761122485380279,0.8404015151732132,2,0.4000000000000001,0.24148929971615163,0.587358438416979,0.14609227579009426,0.668161445275011,0.18698708706679765,0.6681881904912673,0.18691476653095537
0.2,0.19999998528282215,0.8650214425288504,0.34514030432317083,0.2761122485380279,0.8404015151732132,3,0.6000000000000001,0.24148929971615163,0.6383939980281328,1.1085435782872956e-15,0.7595985083151808,0.08624002768790523,0.7606290185530538,0.08709957194747053
0.2,0.19999998528282215,0.8650214425288504,0.34514030432317083,0.2761122485380279,0.8404015151732132,4,0.7999999999999999,0.19717518754886867,0.6383939980281327,7.395242140910987e-16,0.8000000117441967,0.07041468774628716,0.8500074748550194,0.09902004422672542
0.2,0.19999998528282215,0.8650214425288504,0.34514030432317083,0.2761122485380279,0.8404015151732132,5,1.0,0.0,0.6383939980281326,0.0,0.8404015151732127,0.0,1.0,0.0
